"State","County.Name","B_armed","B_unarmed","H_armed","H_unarmed","W_armed","W_unarmed","src.wapo","SortGADMintoPrevOrder","SortGADMintoGADMintoGADMorder","County.FIPS.Code","FIPS","DMA","WeaponsBlack.sum","WeaponsWhite.sum","AssaultsBlack.sum","AssaultsWhite.sum","county","CountyName","ID","TOT_POP","TOT_MALE","TOT_FEMALE","WA_TOT","BAC_TOT","H_TOT","Pct.Uninsured","Median.Income","Gini","Pct.Living.in.Poverty","Pct.HS.Education","PercentSlaveOwningFarms","NSlavesPerCounty","ID.1","FBIDataToRight","VictimsOfHateCrimes","MURDER","AGASSLT","USPSDToRight","BlackArmed","BlackUnarmed","HispanicArmed","HispanicUnarmed","WhiteArmed","WhiteUnarmed","State.1","RandID","SouthernLawCenterDataToRight","Arson","Assault","Bombing","Cross.Burnings","Harassment","Intelligence","Intimidation","Leafletting","Legal.Developments","Murder","Rally","Threat","Vandalism","BayesianPosterior","ModelID","m.log.RR_Black_Unarmed_Versus_White_Unarmed","sd.log.RR_Black_Unarmed_Versus_White_Unarmed"
"TN","Hamilton County",1,0,0,0,1,0,"wapo",2461,2516,47065,47065,85,85,59,320,306,"Hamilton","Hamilton","TNHamilton",336463,161906,174557,254589,70897,14993,16.4,44132,0.48,15.6,85.4,NA,NA,"TN065","FBIDataToRight",1,26,630,"USPSDToRight",1,0,0,0,2,0,"TN",38,"SouthernLawCenterDataToRight",0,0,0,0,1,0,0,1,2,0,0,0,1,"BayesianPosterior",245,1.85486388459663,1.04166650096934
"TN","Knox County",0,0,0,0,2,0,"wapo",2475,2530,47093,47093,63,46,82,162,303,"Knox","Knox","TNKnox",432226,210085,222141,375770,42542,15012,14.5,44074,0.475,12.9,88.3,NA,NA,"TN093","FBIDataToRight",10,18,531,"USPSDToRight",1,0,0,0,2,0,"TN",38,"SouthernLawCenterDataToRight",0,0,0,0,0,0,0,0,0,0,1,0,0,"BayesianPosterior",246,1.75288415342375,0.926572393384574
"TN","Lewis County",0,0,0,0,1,0,"wapo",2479,2534,47101,47101,30,0,3,1,19,"Lewis","Lewis","TNLewis",12161,5954,6207,11725,259,221,18.7,33495,0.44,20.5,77.9,NA,NA,"TN101","FBIDataToRight",NA,0,37,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,0.922941339721817,1.16717217985308
"TN","Loudon County",0,0,0,0,0,1,"wapo",2481,2536,47105,47105,63,0,10,1,50,"Loudon","Loudon","TNLoudon",48556,23828,24728,46934,758,3395,16.8,47206,0.453,14.3,84.3,NA,NA,"TN105","FBIDataToRight",NA,1,46,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,0.688406822263697,1.0903090693011
"TN","Sevier County",0,0,0,0,1,0,"wapo",2506,2561,47155,47155,63,NA,NA,NA,NA,"Sevier","Sevier","TNSevier",89889,44313,45576,86758,1154,4787,21.5,39349,0.433,16.5,80.9,NA,NA,"TN155","FBIDataToRight",NA,6,105,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.45950538033711,1.09275470102953
"TN","Shelby County",4,1,0,0,1,0,"wapo",2507,2562,47157,47157,43,734,104,1444,244,"Shelby","Shelby","TNShelby",927644,442652,484992,403700,493316,52092,17.7,43859,0.495,20.4,84.9,0.398760322,172,"TN157","FBIDataToRight",20,82,1766,"USPSDToRight",3,0,0,0,0,0,"TN",38,"SouthernLawCenterDataToRight",0,0,0,0,0,0,1,1,0,0,0,0,0,"BayesianPosterior",249,2.13442298821661,0.96685346050154
"TN","Sullivan County",0,0,0,0,1,0,"wapo",2510,2565,47163,47163,90,4,37,20,304,"Sullivan","Sullivan","TNSullivan",156823,75826,80997,150133,4292,2321,15.3,36337,0.465,18,82.1,NA,NA,"TN163","FBIDataToRight",2,2,279,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.56730209260255,1.04141522328205
"TN","Sumner County",1,0,0,0,1,0,"wapo",2511,2566,47165,47165,30,10,39,50,180,"Sumner","Sumner","TNSumner",160645,78389,82256,145505,11551,6308,15.4,48502,0.418,13.3,85.4,NA,NA,"TN165","FBIDataToRight",3,3,227,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.60575386399693,1.1174023532257
"TN","Washington County",0,0,0,0,1,0,"wapo",2518,2573,47179,47179,90,10,31,32,220,"Washington","Washington","TNWashington",122979,60089,62890,114156,5967,3633,15,41702,0.477,17.8,84.4,NA,NA,"TN179","FBIDataToRight",1,4,232,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.458093209998,1.01666203371498
"TN","White County",0,0,0,0,1,0,"wapo",2521,2576,47185,47185,30,0,9,4,41,"White","White","TNWhite",25841,12640,13201,24868,607,425,17.8,33251,0.424,21,74.3,NA,NA,"TN185","FBIDataToRight",NA,1,28,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.14639767113287,1.15106396220309
